location_id,country,state,market,region
887,Spain,Valenciana,EU,South
117,Brazil,Amazonas,LATAM,South
284,Denmark,South Denmark,EU,North
831,Saudi Arabia,Al Jawf,EMEA,EMEA
1118,Zambia,Eastern,Africa,Africa
508,Italy,Sicily,EU,South
651,Myanmar (Burma),Yangon,APAC,Southeast Asia
1065,United States,Oregon,US,West
504,Italy,Lombardy,EU,South
167,Canada,Manitoba,Canada,Canada
603,Mexico,Guerrero,LATAM,North
1031,United States,Arizona,US,West
600,Mexico,Distrito Federal,LATAM,North
702,Nigeria,Kano,Africa,Africa
810,Russia,Belgorod,EMEA,EMEA
683,Nicaragua,Managua,LATAM,Central
626,Mongolia,Ulaanbaatar,EMEA,EMEA
1032,United States,Arkansas,US,South
1050,United States,Michigan,US,Central
368,Germany,North Rhine-Westphalia,EU,Central
1070,United States,Tennessee,US,South
510,Italy,Tuscany,EU,South
91,Belgium,Flemish Brabant,EU,Central
551,Kenya,Coast,Africa,Africa
340,France,Champagne-Ardenne,EU,Central
324,El Salvador,Santa Ana,LATAM,Central
217,Colombia,Atlántico,LATAM,South
1038,United States,Florida,US,South
832,Saudi Arabia,Al Madinah,EMEA,EMEA
328,Estonia,Harjumaa,EMEA,EMEA
500,Italy,Emilia-Romagna,EU,South
678,New Zealand,Wellington,APAC,Oceania
58,Australia,Northern Territory,APAC,Oceania
1056,United States,Nevada,US,West
414,India,Madhya Pradesh,APAC,Central Asia
575,Madagascar,Atsinanana,Africa,Africa
448,Indonesia,Sumatera Utara,APAC,Southeast Asia
1042,United States,Indiana,US,Central
940,Turkey,Afyonkarahisar,EMEA,EMEA
352,France,Poitou-Charentes,EU,Central
704,Nigeria,Kwara,Africa,Africa
854,South Africa,Free State,Africa,Africa
198,China,Hunan,APAC,North Asia
255,Cuba,Guantánamo,LATAM,Caribbean
966,Turkey,Izmir,EMEA,EMEA
772,Portugal,Lisboa,EU,South
630,Morocco,Fès-Boulemane,Africa,Africa
844,Sierra Leone,Southern,Africa,Africa
464,Iran,Markazi,EMEA,EMEA
422,India,Telangana,APAC,Central Asia
344,France,Languedoc-Roussillon,EU,Central
433,Indonesia,Jawa Tengah,APAC,Southeast Asia
723,Norway,Oslo,EU,North
883,Spain,Madrid,EU,South
1069,United States,South Dakota,US,Central
619,Mexico,Tamaulipas,LATAM,North
207,China,Shandong,APAC,North Asia
173,Central African Republic,Bangui,Africa,Africa
268,Czech Republic,Olomouc,EMEA,EMEA
437,Indonesia,Kalimantan Timur,APAC,Southeast Asia
636,Morocco,Rabat-Salé-Zemmour-Zaer,Africa,Africa
190,China,Guangdong,APAC,North Asia
288,Dominican Republic,Duarte,LATAM,Caribbean
1096,Venezuela,Lara,LATAM,South
102,Benin,Littoral,Africa,Africa
1060,United States,New York,US,East
62,Australia,Victoria,APAC,Oceania
634,Morocco,Marrakech-Tensift-El Haouz,Africa,Africa
187,China,Chongqing,APAC,North Asia
298,Dominican Republic,Santo Domingo,LATAM,Caribbean
79,Bangladesh,Dhaka,APAC,Central Asia
197,China,Hubei,APAC,North Asia
733,Panama,Panama,LATAM,Central
196,China,Henan,APAC,North Asia
372,Germany,Saxony,EU,Central
872,Spain,Andalusía,EU,South
360,Germany,Bavaria,EU,Central
1077,United States,Wisconsin,US,Central
879,Spain,Catalonia,EU,South
899,Sweden,Uppsala,EU,North
192,China,Guizhou,APAC,North Asia
855,South Africa,Gauteng,Africa,Africa
1075,United States,Washington,US,West
946,Turkey,Aydin,EMEA,EMEA
200,China,Jiangsu,APAC,North Asia
334,France,Alsace,EU,Central
1058,United States,New Jersey,US,East
182,Chile,Santiago,LATAM,South
262,Cuba,Sancti Spíritus,LATAM,Caribbean
365,Germany,Hesse,EU,Central
661,Netherlands,Overijssel,EU,Central
863,South Korea,Daejeon,APAC,North Asia
535,Japan,Shizuoka,APAC,North Asia
581,Malaysia,Pahang,APAC,Southeast Asia
902,Switzerland,Basel-Stadt,EU,Central
624,Moldova,Chisinau,EMEA,EMEA
1003,Uganda,Kampala,Africa,Africa
1122,Zimbabwe,Bulawayo,Africa,Africa
454,Iran,Gilan,EMEA,EMEA
412,India,Karnataka,APAC,Central Asia
632,Morocco,Grand Casablanca,Africa,Africa
1053,United States,Missouri,US,Central
809,Russia,Bashkortostan,EMEA,EMEA
718,Niger,Niamey,Africa,Africa
256,Cuba,Holguín,LATAM,Caribbean
203,China,Liaoning,APAC,North Asia
838,Senegal,Dakar,Africa,Africa
397,Hong Kong,Hong Kong,APAC,North Asia
818,Russia,Kaluga,EMEA,EMEA
534,Japan,Saitama,APAC,North Asia
278,Democratic Republic of the Congo,Kinshasa,Africa,Africa
424,India,Uttar Pradesh,APAC,Central Asia
195,China,Heilongjiang,APAC,North Asia
1123,Zimbabwe,Harare,Africa,Africa
868,South Korea,Seoul,APAC,North Asia
420,India,Rajasthan,APAC,Central Asia
338,France,Burgundy,EU,Central
537,Japan,Tokyo,APAC,North Asia
194,China,Hebei,APAC,North Asia
908,Switzerland,Zürich,EU,Central
767,Poland,Pomerania,EMEA,EMEA
472,Iran,Tehran,EMEA,EMEA
487,Ireland,Dublin,EU,North
281,Democratic Republic of the Congo,South Kivu,Africa,Africa
955,Turkey,Diyarbakir,EMEA,EMEA
415,India,Maharashtra,APAC,Central Asia
729,Pakistan,Punjab,APAC,Central Asia
76,Azerbaijan,Baki,EMEA,EMEA
502,Italy,Lazio,EU,South
95,Belgium,Namur,EU,Central
467,Iran,Qom,EMEA,EMEA
133,Brazil,Rio Grande do Sul,LATAM,South
118,Brazil,Bahia,LATAM,South
261,Cuba,Pinar del Río,LATAM,Caribbean
280,Democratic Republic of the Congo,Orientale,Africa,Africa
685,Nicaragua,Matagalpa,LATAM,Central
430,Indonesia,Jakarta,APAC,Southeast Asia
660,Netherlands,North Holland,EU,Central
516,Japan,Chiba,APAC,North Asia
451,Iran,Bushehr,EMEA,EMEA
1021,Ukraine,Vinnytsya,EMEA,EMEA
361,Germany,Berlin,EU,Central
1010,Ukraine,Kherson,EMEA,EMEA
514,Japan,Aichi,APAC,North Asia
447,Indonesia,Sumatera Selatan,APAC,Southeast Asia
61,Australia,Tasmania,APAC,Oceania
479,Iraq,Baghdad,EMEA,EMEA
258,Cuba,Las Tunas,LATAM,Caribbean
6,Albania,Elbasan,EMEA,EMEA
794,Romania,Iasi,EMEA,EMEA
394,Honduras,Cortés,LATAM,Central
690,Nigeria,Anambra,Africa,Africa
492,Israel,Jerusalem,EMEA,EMEA
350,France,Pays de la Loire,EU,Central
1061,United States,North Carolina,US,South
210,China,Sichuan,APAC,North Asia
965,Turkey,Istanbul,EMEA,EMEA
698,Nigeria,Enugu,Africa,Africa
768,Poland,Silesia,EMEA,EMEA
836,Saudi Arabia,Makkah,EMEA,EMEA
156,Cameroon,Centre,Africa,Africa
154,Cambodia,Phnom Penh,APAC,Southeast Asia
359,Germany,Baden-Württemberg,EU,Central
358,Georgia,Tbilisi,EMEA,EMEA
764,Poland,Masovia,EMEA,EMEA
166,Canada,British Columbia,Canada,Canada
35,Argentina,Buenos Aires,LATAM,South
1034,United States,Colorado,US,West
123,Brazil,Maranhão,LATAM,South
943,Turkey,Ankara,EMEA,EMEA
129,Brazil,Pará,LATAM,South
1094,Venezuela,Distrito Capital,LATAM,South
335,France,Aquitaine,EU,Central
12,Algeria,Batna,Africa,Africa
208,China,Shanghai,APAC,North Asia
333,Finland,Uusimaa,EU,North
650,Mozambique,Zambezia,Africa,Africa
667,New Zealand,Canterbury,APAC,Oceania
1072,United States,Utah,US,West
186,China,Beijing,APAC,North Asia
758,Philippines,Western Visayas,APAC,Southeast Asia
275,Democratic Republic of the Congo,Kasai-Occidental,Africa,Africa
569,Lithuania,Vilnius,EMEA,EMEA
496,Italy,Apulia,EU,South
706,Nigeria,Niger,Africa,Africa
371,Germany,Saxony-Anhalt,EU,Central
612,Mexico,Puebla,LATAM,North
1051,United States,Minnesota,US,Central
1052,United States,Mississippi,US,South
1112,Vietnam,Th? Dô Hà N?i,APAC,Southeast Asia
382,Guatemala,Escuintla,LATAM,Central
711,Nigeria,Plateau,Africa,Africa
402,India,Andhra Pradesh,APAC,Central Asia
746,Peru,Lima (city),LATAM,South
507,Italy,Sardinia,EU,South
654,Netherlands,Drenthe,EU,Central
850,Somalia,Banaadir,Africa,Africa
459,Iran,Kermanshah,EMEA,EMEA
391,Haiti,Ouest,LATAM,Caribbean
724,Norway,Rogaland,EU,North
666,New Zealand,Bay of Plenty,APAC,Oceania
367,Germany,Mecklenburg-Vorpommern,EU,Central
242,Cote d'Ivoire,Lagunes,Africa,Africa
474,Iran,Zanjan,EMEA,EMEA
427,Indonesia,Aceh,APAC,Southeast Asia
659,Netherlands,North Brabant,EU,Central
470,Iran,Sistan Va Baluchestan,EMEA,EMEA
56,Australia,Australian Capital Territory,APAC,Oceania
582,Malaysia,Perak,APAC,Southeast Asia
1043,United States,Iowa,US,Central
1059,United States,New Mexico,US,West
74,Austria,Vienna,EMEA,EMEA
511,Italy,Umbria,EU,South
50,Argentina,Salta,LATAM,South
171,Canada,Quebec,Canada,Canada
393,Honduras,Choluteca,LATAM,Central
199,China,Inner Mongolia,APAC,North Asia
395,Honduras,Francisco Morazán,LATAM,Central
814,Russia,Irkutsk,EMEA,EMEA
426,India,West Bengal,APAC,Central Asia
812,Russia,Chelyabinsk,EMEA,EMEA
826,Russia,Yaroslavl',EMEA,EMEA
952,Turkey,Canakkale,EMEA,EMEA
904,Switzerland,Geneva,EU,Central
512,Italy,Veneto,EU,South
867,South Korea,Jeju,APAC,North Asia
218,Colombia,Bogota,LATAM,South
1049,United States,Massachusetts,US,East
81,Bangladesh,Rajshahi,APAC,Central Asia
119,Brazil,Ceará,LATAM,South
214,China,Zhejiang,APAC,North Asia
1028,United Kingdom,Scotland,EU,North
355,France,Upper Normandy,EU,Central
971,Turkey,Kayseri,EMEA,EMEA
730,Pakistan,Sindh,APAC,Central Asia
4,Afghanistan,Nangarhar,APAC,Central Asia
1005,Ukraine,Chernihiv,EMEA,EMEA
296,Dominican Republic,San Pedro de Macorís,LATAM,Caribbean
1030,United States,Alabama,US,South
759,Poland,Greater Poland,EMEA,EMEA
388,Guinea,Kindia,Africa,Africa
495,Italy,Abruzzi,EU,South
700,Nigeria,Imo,Africa,Africa
771,Portugal,Coimbra,EU,South
444,Indonesia,Sulawesi Tenggara,APAC,Southeast Asia
1054,United States,Montana,US,West
597,Mexico,Chihuahua,LATAM,North
158,Cameroon,Extreme-Nord,Africa,Africa
1040,United States,Idaho,US,West
877,Spain,Castile and León,EU,South
40,Argentina,Córdoba,LATAM,South
562,Liberia,Montserrado,Africa,Africa
606,Mexico,Michoacán,LATAM,North
1048,United States,Maryland,US,East
308,Egypt,Al Iskandariyah,Africa,Africa
421,India,Tamil Nadu,APAC,Central Asia
615,Mexico,San Luis Potosí,LATAM,North
346,France,Lorraine,EU,Central
686,Nigeria,Abia,Africa,Africa
656,Netherlands,Gelderland,EU,Central
364,Germany,Hamburg,EU,Central
132,Brazil,Rio Grande do Norte,LATAM,South
137,Brazil,Santa Catarina,LATAM,South
251,Cuba,Camagüey,LATAM,Caribbean
336,France,Auvergne,EU,Central
345,France,Limousin,EU,Central
871,South Sudan,Central Equatoria,Africa,Africa
362,Germany,Brandenburg,EU,Central
66,Austria,Salzburg,EMEA,EMEA
799,Romania,Prahova,EMEA,EMEA
635,Morocco,Meknès-Tafilalet,Africa,Africa
390,Haiti,Artibonite,LATAM,Caribbean
763,Poland,Lubusz,EMEA,EMEA
997,Turkmenistan,Ashgabat,EMEA,EMEA
602,Mexico,Guanajuato,LATAM,North
287,Dominican Republic,Barahona,LATAM,Caribbean
947,Turkey,Balikesir,EMEA,EMEA
78,Bangladesh,Chittagong,APAC,Central Asia
396,Honduras,Yoro,LATAM,Central
990,Turkey,Sivas,EMEA,EMEA
545,Kazakhstan,Astana,EMEA,EMEA
384,Guatemala,Huehuetenango,LATAM,Central
560,Lesotho,Maseru,Africa,Africa
97,Benin,Alibori,Africa,Africa
88,Belgium,Antwerp,EU,Central
351,France,Picardy,EU,Central
1014,Ukraine,Luhans'k,EMEA,EMEA
185,China,Anhui,APAC,North Asia
1019,Ukraine,Sumy,EMEA,EMEA
363,Germany,Bremen,EU,Central
153,Burundi,Bujumbura-Mairie,Africa,Africa
449,Indonesia,Yogyakarta,APAC,Southeast Asia
1035,United States,Connecticut,US,East
892,Sudan,Red Sea,Africa,Africa
374,Germany,Thuringia,EU,Central
782,Romania,Botosani,EMEA,EMEA
775,Qatar,Ad Dawhah,EMEA,EMEA
790,Romania,Galati,EMEA,EMEA
679,Nicaragua,Chinandega,LATAM,Central
339,France,Centre,EU,Central
938,Turkey,Adana,EMEA,EMEA
274,Democratic Republic of the Congo,Equateur,Africa,Africa
609,Mexico,Nayarit,LATAM,North
991,Turkey,Tekirdag,EMEA,EMEA
773,Portugal,Porto,EU,South
573,Madagascar,Analamanga,Africa,Africa
675,New Zealand,Southland,APAC,Oceania
148,Bulgaria,Sofiya-Grad,EMEA,EMEA
591,Martinique,Martinique,LATAM,Caribbean
547,Kazakhstan,Qaraghandy,EMEA,EMEA
663,Netherlands,Utrecht,EU,Central
986,Turkey,Samsun,EMEA,EMEA
246,Croatia,Osjecko-Baranjska,EMEA,EMEA
673,New Zealand,Northland,APAC,Oceania
787,Romania,Cluj,EMEA,EMEA
975,Turkey,Konya,EMEA,EMEA
604,Mexico,Hidalgo,LATAM,North
126,Brazil,Minas Gerais,LATAM,South
689,Nigeria,Akwa Ibom,Africa,Africa
648,Mozambique,Sofala,Africa,Africa
616,Mexico,Sinaloa,LATAM,North
1106,Venezuela,Zulia,LATAM,South
377,Ghana,Eastern,Africa,Africa
1015,Ukraine,Mykolayiv,EMEA,EMEA
469,Iran,Semnan,EMEA,EMEA
878,Spain,Castile-La Mancha,EU,South
337,France,Brittany,EU,Central
122,Brazil,Goiás,LATAM,South
596,Mexico,Chiapas,LATAM,North
1057,United States,New Hampshire,US,East
744,Peru,La Libertad,LATAM,South
583,Malaysia,Sabah,APAC,Southeast Asia
17,Algeria,Guelma,Africa,Africa
524,Japan,Ishikawa,APAC,North Asia
670,New Zealand,Manawatu-Wanganui,APAC,Oceania
1008,Ukraine,Ivano-Frankivsk,EMEA,EMEA
499,Italy,Campania,EU,South
637,Morocco,Souss-Massa-Draâ,Africa,Africa
419,India,Punjab,APAC,Central Asia
134,Brazil,Rio de Janeiro,LATAM,South
347,France,Lower Normandy,EU,Central
610,Mexico,Nuevo León,LATAM,North
802,Romania,Suceava,EMEA,EMEA
408,India,Gujarat,APAC,Central Asia
825,Russia,Voronezh,EMEA,EMEA
407,India,Delhi,APAC,Central Asia
828,Rwanda,Kigali,Africa,Africa
671,New Zealand,Marlborough,APAC,Oceania
486,Ireland,Cork,EU,North
761,Poland,Lodz,EMEA,EMEA
429,Indonesia,Bengkulu,APAC,Southeast Asia
300,Ecuador,Guayas,LATAM,South
1009,Ukraine,Kharkiv,EMEA,EMEA
321,El Salvador,Cuscatlán,LATAM,Central
138,Brazil,Sergipe,LATAM,South
953,Turkey,Corum,EMEA,EMEA
860,South Africa,Western Cape,Africa,Africa
736,Paraguay,Central,LATAM,South
857,South Africa,Limpopo,Africa,Africa
833,Saudi Arabia,Ar Riyad,EMEA,EMEA
181,Chile,O'Higgins,LATAM,South
1013,Ukraine,L'viv,EMEA,EMEA
297,Dominican Republic,Santiago,LATAM,Caribbean
601,Mexico,Durango,LATAM,North
90,Belgium,East Flanders,EU,Central
880,Spain,Ceuta,EU,South
967,Turkey,Kahramanmaras,EMEA,EMEA
159,Cameroon,Littoral,Africa,Africa
253,Cuba,Cienfuegos,LATAM,Caribbean
533,Japan,Saga,APAC,North Asia
1000,Uganda,Gulu,Africa,Africa
413,India,Kerala,APAC,Central Asia
121,Brazil,Federal District,LATAM,South
310,Egypt,Al Minya,Africa,Africa
743,Peru,Junín,LATAM,South
452,Iran,Esfahan,EMEA,EMEA
732,Panama,Colón,LATAM,Central
162,Cameroon,Ouest,Africa,Africa
688,Nigeria,Adamawa,Africa,Africa
837,Saudi Arabia,Tabuk,EMEA,EMEA
895,Sweden,Halland,EU,North
461,Iran,Khuzestan,EMEA,EMEA
974,Turkey,Kocaeli,EMEA,EMEA
130,Brazil,Pernambuco,LATAM,South
981,Turkey,Nevsehir,EMEA,EMEA
617,Mexico,Sonora,LATAM,North
220,Colombia,Boyacá,LATAM,South
189,China,Gansu,APAC,North Asia
629,Morocco,Doukkala-Abda,Africa,Africa
886,Spain,Navarra,EU,South
543,Kazakhstan,Almaty,EMEA,EMEA
813,Russia,Dagestan,EMEA,EMEA
1064,United States,Oklahoma,US,Central
392,Honduras,Atlántida,LATAM,Central
277,Democratic Republic of the Congo,Katanga,Africa,Africa
29,Angola,Bie,Africa,Africa
369,Germany,Rhineland-Palatinate,EU,Central
330,Ethiopia,Dire Dawa,Africa,Africa
165,Canada,Alberta,Canada,Canada
476,Iraq,Al Qadisiyah,EMEA,EMEA
910,Syria,Dayr Az Zawr,EMEA,EMEA
658,Netherlands,Limburg,EU,Central
172,Canada,Saskatchewan,Canada,Canada
233,Colombia,Quindío,LATAM,South
599,Mexico,Colima,LATAM,North
21,Algeria,Oran,Africa,Africa
51,Argentina,San Juan,LATAM,South
710,Nigeria,Oyo,Africa,Africa
270,Czech Republic,Prague,EMEA,EMEA
264,Cuba,Villa Clara,LATAM,Caribbean
806,Russia,Amur,EMEA,EMEA
440,Indonesia,Nusa Tenggara Timur,APAC,Southeast Asia
131,Brazil,Piauí,LATAM,South
607,Mexico,Morelos,LATAM,North
754,Philippines,Central Luzon,APAC,Southeast Asia
209,China,Shanxi,APAC,North Asia
322,El Salvador,La Libertad,LATAM,Central
1006,Ukraine,Dnipropetrovs'k,EMEA,EMEA
273,Democratic Republic of the Congo,Bas-Congo,Africa,Africa
136,Brazil,Roraima,LATAM,South
553,Kenya,Nairobi,Africa,Africa
586,Malaysia,Trengganu,APAC,Southeast Asia
73,Austria,Upper Austria,EU,Central
1119,Zambia,Lusaka,Africa,Africa
306,Egypt,Al Fayyum,Africa,Africa
1023,Ukraine,Zaporizhzhya,EMEA,EMEA
1007,Ukraine,Donetsk,EMEA,EMEA
96,Belgium,West Flanders,EU,Central
913,Tajikistan,Khatlon,EMEA,EMEA
30,Angola,Huambo,Africa,Africa
319,Egypt,Qina,Africa,Africa
579,Malaysia,Kuala Lumpur,APAC,Southeast Asia
114,Brazil,Acre,LATAM,South
555,Kenya,Rift Valley,Africa,Africa
546,Kazakhstan,Pavlodar,EMEA,EMEA
1055,United States,Nebraska,US,Central
450,Iran,Ardabil,EMEA,EMEA
68,Austria,Styria,EMEA,EMEA
2,Afghanistan,Kabul,APAC,Central Asia
889,Sudan,Gezira,Africa,Africa
847,Slovakia,Nitra,EMEA,EMEA
830,Saudi Arabia,'Asir,EMEA,EMEA
701,Nigeria,Kaduna,Africa,Africa
460,Iran,Kerman,EMEA,EMEA
378,Ghana,Greater Accra,Africa,Africa
239,Cote d'Ivoire,Fromager,Africa,Africa
404,India,Bihar,APAC,Central Asia
865,South Korea,Gyeonggi,APAC,North Asia
491,Israel,Haifa,EMEA,EMEA
1047,United States,Maine,US,East
373,Germany,Schleswig-Holstein,EU,Central
561,Liberia,Grand Gedeh,Africa,Africa
71,Austria,Tyrol,EU,Central
457,Iran,Hormozgan,EMEA,EMEA
161,Cameroon,Nord,Africa,Africa
342,France,Franche-Comté,EU,Central
145,Bulgaria,Plovdiv,EMEA,EMEA
204,China,Ningxia,APAC,North Asia
465,Iran,Mazandaran,EMEA,EMEA
341,France,Corsica,EU,Central
703,Nigeria,Katsina,Africa,Africa
509,Italy,Trentino-Alto Adige,EU,South
549,Kazakhstan,Zhambyl,EMEA,EMEA
206,China,Shaanxi,APAC,North Asia
798,Romania,Neamt,EMEA,EMEA
211,China,Tianjin,APAC,North Asia
677,New Zealand,Waikato,APAC,Oceania
645,Mozambique,Maputo,Africa,Africa
411,India,Jharkhand,APAC,Central Asia
693,Nigeria,Borno,Africa,Africa
762,Poland,Lublin,EMEA,EMEA
86,Belarus,Hrodna,EMEA,EMEA
959,Turkey,Erzurum,EMEA,EMEA
791,Romania,Giurgiu,EMEA,EMEA
841,Senegal,Ziguinchor,Africa,Africa
749,Peru,Moquegua,LATAM,South
757,Philippines,Northern Mindanao,APAC,Southeast Asia
14,Algeria,Bejaia,Africa,Africa
1117,Zambia,Copperbelt,Africa,Africa
493,Israel,Southern,EMEA,EMEA
817,Russia,Kaliningrad,EMEA,EMEA
980,Turkey,Mersin,EMEA,EMEA
475,Iraq,Al Basrah,EMEA,EMEA
276,Democratic Republic of the Congo,Kasai-Oriental,Africa,Africa
639,Morocco,Tanger-Tétouan,Africa,Africa
70,Austria,Tyrol,EMEA,EMEA
188,China,Fujian,APAC,North Asia
734,Papua New Guinea,National Capital,APAC,Oceania
858,South Africa,Mpumalanga,Africa,Africa
907,Switzerland,Vaud,EU,Central
506,Italy,Piedmont,EU,South
999,Turkmenistan,Mary,EMEA,EMEA
642,Mozambique,Cidade De Maputo,Africa,Africa
692,Nigeria,Benue,Africa,Africa
498,Italy,Calabria,EU,South
477,Iraq,Arbil,EMEA,EMEA
882,Spain,Galicia,EU,South
862,South Korea,Daegu,APAC,North Asia
84,Belarus,Brest,EMEA,EMEA
135,Brazil,Rondônia,LATAM,South
614,Mexico,Quintana Roo,LATAM,North
824,Russia,Vladimir,EMEA,EMEA
890,Sudan,Kassala,Africa,Africa
684,Nicaragua,Masaya,LATAM,Central
720,Norway,Buskerud,EU,North
739,Peru,Ayacucho,LATAM,South
676,New Zealand,Taranaki,APAC,Oceania
682,Nicaragua,León,LATAM,Central
851,Somalia,Jubbada Hoose,Africa,Africa
578,Madagascar,Haute-Matsiatra,Africa,Africa
462,Iran,Kordestan,EMEA,EMEA
595,Mexico,Campeche,LATAM,North
779,Romania,Bacau,EMEA,EMEA
37,Argentina,Chaco,LATAM,South
289,Dominican Republic,Espaillat,LATAM,Caribbean
222,Colombia,Caquetá,LATAM,South
445,Indonesia,Sulawesi Utara,APAC,Southeast Asia
933,Togo,Maritime,Africa,Africa
48,Argentina,Provincia de Buenos Aires,LATAM,South
727,Pakistan,F.C.T.,APAC,Central Asia
1044,United States,Kansas,US,Central
381,Guatemala,Chimaltenango,LATAM,Central
564,Libya,Banghazi,Africa,Africa
299,Ecuador,Azuay,LATAM,South
317,Egypt,Kafr Ash Shaykh,Africa,Africa
41,Argentina,Entre Ríos,LATAM,South
750,Peru,Piura,LATAM,South
731,Panama,Chiriquí,LATAM,Central
807,Russia,Arkhangel'sk,EMEA,EMEA
766,Poland,Podlaskie,EMEA,EMEA
286,Djibouti,Djibouti,Africa,Africa
104,Benin,Ouémé,Africa,Africa
992,Turkey,Tokat,EMEA,EMEA
977,Turkey,Malatya,EMEA,EMEA
1018,Ukraine,Sevastopol',EMEA,EMEA
1012,Ukraine,Kirovohrad,EMEA,EMEA
453,Iran,Fars,EMEA,EMEA
425,India,Uttarakhand,APAC,Central Asia
987,Turkey,Sanliurfa,EMEA,EMEA
542,Kazakhstan,Almaty City,EMEA,EMEA
1113,Yemen,Al Hudaydah,EMEA,EMEA
69,Austria,Styria,EU,Central
212,China,Xinjiang Uygur,APAC,North Asia
529,Japan,Nagasaki,APAC,North Asia
53,Argentina,Santa Fe,LATAM,South
1025,United Arab Emirates,'Ajman,EMEA,EMEA
265,Czech Republic,Hradec Kralove,EMEA,EMEA
157,Cameroon,Est,Africa,Africa
708,Nigeria,Ondo,Africa,Africa
979,Turkey,Mardin,EMEA,EMEA
83,Barbados,Saint Michael,LATAM,Caribbean
1086,Uzbekistan,Namangan,EMEA,EMEA
1087,Uzbekistan,Qashqadaryo,EMEA,EMEA
954,Turkey,Denizli,EMEA,EMEA
924,Tanzania,Pwani,Africa,Africa
494,Israel,Tel Aviv,EMEA,EMEA
1097,Venezuela,Miranda,LATAM,South
963,Turkey,Igdir,EMEA,EMEA
1107,Vietnam,Dà Nang,APAC,Southeast Asia
