product_id,product_name,category,sub_category
7736,"Elite Scissors, Easy Grip",Office Supplies,Supplies
3269,Newell 312,Office Supplies,Art
941,"SAFCO Executive Leather Armchair, Red",Furniture,Chairs
7186,"Smead Lockers, Blue",Office Supplies,Storage
247,"Dania Floating Shelf Set, Traditional",Furniture,Bookcases
9943,"Apple Audio Dock, VoIP",Technology,Phones
8736,"Sharp Wireless Fax, Color",Technology,Copiers
9937,"Apple Headset, VoIP",Technology,Phones
3211,"Sanford Canvas, Easy-Erase",Office Supplies,Art
1998,"Bevis Training Table, with Bottom Storage",Furniture,Tables
2993,"Binney & Smith Canvas, Blue",Office Supplies,Art
1244,"Advantus Clock, Black",Furniture,Furnishings
1283,"Eldon Door Stop, Durable",Furniture,Furnishings
1865,"Safco Floating Shelf Set, Metal",Furniture,Bookcases
4259,"GlobeWeis Interoffice Envelope, Set of 50",Office Supplies,Envelopes
7166,"Smead Trays, Single Width",Office Supplies,Storage
1127,"Rubbermaid Photo Frame, Duo Pack",Furniture,Furnishings
2400,"KitchenAid Coffee Grinder, Black",Office Supplies,Appliances
3302,"Boston Canvas, Fluorescent",Office Supplies,Art
1227,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Furnishings
5751,"Novimex File Folder Labels, Alphabetical",Office Supplies,Labels
3627,"Ibico Hole Reinforcements, Recycled",Office Supplies,Binders
3934,"Avery Hole Reinforcements, Durable",Office Supplies,Binders
5893,Avery 482,Office Supplies,Labels
8433,"Logitech Router, USB",Technology,Accessories
8844,"Hewlett Fax and Copier, Laser",Technology,Copiers
401,"Ikea Stackable Bookrack, Traditional",Furniture,Bookcases
9346,"Epson Printer, White",Technology,Machines
585,"Hon Chairmat, Adjustable",Furniture,Chairs
6071,"Green Bar Note Cards, Multicolor",Office Supplies,Paper
1097,"DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings
3396,"Ibico Index Tab, Clear",Office Supplies,Binders
5197,"Fellowes Folders, Wire Frame",Office Supplies,Storage
3342,"Avery Removable Labels, Alphabetical",Office Supplies,Labels
5453,"Kleencut Ruler, Easy Grip",Office Supplies,Supplies
2312,"Advantus Staples, 12 Pack",Office Supplies,Fasteners
5207,"Fellowes Trays, Industrial",Office Supplies,Storage
6785,"Smead Lockers, Blue",Office Supplies,Storage
9059,"HP Fax Machine, Laser",Technology,Copiers
9162,"StarTech Inkjet, Wireless",Technology,Machines
7063,"Smead Lockers, Blue",Office Supplies,Storage
5192,"Fellowes Box, Wire Frame",Office Supplies,Storage
7567,"Elite Ruler, Steel",Office Supplies,Supplies
3331,"Sanford Pens, Fluorescent",Office Supplies,Art
6293,"Green Bar Cards & Envelopes, Multicolor",Office Supplies,Paper
5718,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",Office Supplies,Labels
5756,"Harbour Creations Legal Exhibit Labels, Adjustable",Office Supplies,Labels
3523,"Wilson Jones Hole Reinforcements, Durable",Office Supplies,Binders
6801,Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage
6795,Fellowes Stor/Drawer Steel Plus Storage Drawers,Office Supplies,Storage
8263,Plantronics S12 Corded Telephone Headset System,Technology,Accessories
9334,"StarTech Card Printer, White",Technology,Machines
552,Global Highback Leather Tilter in Burgundy,Furniture,Chairs
10055,"Apple Headset, with Caller ID",Technology,Phones
314,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,Bookcases
6229,"Xerox Message Books, Premium",Office Supplies,Paper
151,"Safco Floating Shelf Set, Traditional",Furniture,Bookcases
4693,"Jiffy Mailers, Security-Tint",Office Supplies,Envelopes
4360,Brown Kraft Recycled Envelopes,Office Supplies,Envelopes
6564,"Eaton Computer Printout Paper, 8.5 x 11",Office Supplies,Paper
5191,"Fellowes File Cart, Blue",Office Supplies,Storage
1223,"Tenex Door Stop, Black",Furniture,Furnishings
7213,"Smead Trays, Blue",Office Supplies,Storage
6932,"Tenex Shelving, Single Width",Office Supplies,Storage
2291,"Acme Trimmer, Easy Grip",Office Supplies,Supplies
3412,"Cardinal Binder Covers, Recycled",Office Supplies,Binders
3200,4009 Highlighters by Sanford,Office Supplies,Art
4398,Staples,Office Supplies,Envelopes
6400,Xerox 1923,Office Supplies,Paper
3914,Staples,Office Supplies,Binders
7322,"Stanley Canvas, Blue",Office Supplies,Art
3823,Avery Metallic Poly Binders,Office Supplies,Binders
8852,"Hewlett Copy Machine, Laser",Technology,Copiers
322,"Dania Library with Doors, Traditional",Furniture,Bookcases
856,"Hon Swivel Stool, Set of Two",Furniture,Chairs
2913,"Binney & Smith Canvas, Blue",Office Supplies,Art
2820,"Stanley Markers, Fluorescent",Office Supplies,Art
2457,"Cuisinart Microwave, White",Office Supplies,Appliances
346,Sauder Cornerstone Collection Library,Furniture,Bookcases
6268,"Green Bar Computer Printout Paper, 8.5 x 11",Office Supplies,Paper
7772,"Elite Letter Opener, Easy Grip",Office Supplies,Supplies
1666,"Harbour Creations Rocking Chair, Adjustable",Furniture,Chairs
6730,"Sanford Markers, Fluorescent",Office Supplies,Art
5501,"Harbour Creations Removable Labels, 5000 Label Set",Office Supplies,Labels
8314,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories
2949,"Binney & Smith Markers, Water Color",Office Supplies,Art
1243,DAX Black Cherry Wood-Tone Poster Frame,Furniture,Furnishings
10151,AT&T 841000 Phone,Technology,Phones
5604,Round Specialty Laser Printer Labels,Office Supplies,Labels
6975,"Fellowes Box, Wire Frame",Office Supplies,Storage
6898,"Fellowes Folders, Blue",Office Supplies,Storage
7189,"Tenex Box, Industrial",Office Supplies,Storage
3572,"Ibico Binder, Economy",Office Supplies,Binders
3591,GBC Linen Binding Covers,Office Supplies,Binders
3274,"Stanley Pens, Easy-Erase",Office Supplies,Art
5638,"Hon Shipping Labels, Laser Printer Compatible",Office Supplies,Labels
5211,"Fellowes Lockers, Blue",Office Supplies,Storage
4820,"Stockwell Thumb Tacks, Bulk Pack",Office Supplies,Fasteners
4943,"OIC Clamps, 12 Pack",Office Supplies,Fasteners
3947,"Acco Binding Machine, Economy",Office Supplies,Binders
4145,"Cardinal Binder, Recycled",Office Supplies,Binders
4040,"Binney & Smith Pencil Sharpener, Water Color",Office Supplies,Art
3916,"Wilson Jones Binding Machine, Clear",Office Supplies,Binders
9254,"Okidata Printer, Wireless",Technology,Machines
429,"Ikea Floating Shelf Set, Metal",Furniture,Bookcases
8941,"Brother Ink, Laser",Technology,Copiers
8488,"Belkin Mouse, USB",Technology,Accessories
2417,Fellowes Mighty 8 Compact Surge Protector,Office Supplies,Appliances
8188,"SanDisk Flash Drive, Bluetooth",Technology,Accessories
4625,"GlobeWeis Business Envelopes, Recycled",Office Supplies,Envelopes
7369,"Stockwell Clamps, Assorted Sizes",Office Supplies,Fasteners
501,"Bush Classic Bookcase, Traditional",Furniture,Bookcases
2580,"Cuisinart Microwave, Silver",Office Supplies,Appliances
231,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases
1790,"Office Star Rocking Chair, Red",Furniture,Chairs
489,"Bush Library with Doors, Mobile",Furniture,Bookcases
6101,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",Office Supplies,Paper
6764,"Smead Trays, Single Width",Office Supplies,Storage
4446,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes
3053,"Boston Pencil Sharpener, Water Color",Office Supplies,Art
4199,"Eldon Trays, Single Width",Office Supplies,Storage
5259,"Green Bar Note Cards, Premium",Office Supplies,Paper
3842,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,Binders
5201,"Fellowes Box, Blue",Office Supplies,Storage
5960,"Novimex Color Coded Labels, Adjustable",Office Supplies,Labels
5966,"Novimex Shipping Labels, 5000 Label Set",Office Supplies,Labels
1971,"Chromcraft Conference Table, Fully Assembled",Furniture,Tables
5204,"Fellowes Lockers, Single Width",Office Supplies,Storage
749,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs
9728,Apple iPhone 5C,Technology,Phones
9724,"Cisco Signal Booster, with Caller ID",Technology,Phones
1797,"Office Star Rocking Chair, Black",Furniture,Chairs
1436,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,Furnishings
10074,"Apple Signal Booster, VoIP",Technology,Phones
8364,"Memorex Router, Programmable",Technology,Accessories
2562,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances
7793,"Fiskars Box Cutter, Serrated",Office Supplies,Supplies
7124,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Office Supplies,Storage
5218,"Fiskars Trimmer, High Speed",Office Supplies,Supplies
3517,"Avery Binder Covers, Recycled",Office Supplies,Binders
3297,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Office Supplies,Art
6673,"Rogers Shelving, Wire Frame",Office Supplies,Storage
3775,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders
4364,Staples,Office Supplies,Envelopes
1462,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings
3161,"Sanford Sketch Pad, Water Color",Office Supplies,Art
3937,Storex Dura Pro Binders,Office Supplies,Binders
4107,"Cameo Manila Envelope, Set of 50",Office Supplies,Envelopes
3678,"Acco Binder Covers, Economy",Office Supplies,Binders
3080,Newell 351,Office Supplies,Art
3470,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Office Supplies,Binders
6876,Eldon Fold 'N Roll Cart System,Office Supplies,Storage
6391,"Wirebound Service Call Books, 5 1/2"" x 4""",Office Supplies,Paper
1370,Ultra Door Push Plate,Furniture,Furnishings
3241,Newell 327,Office Supplies,Art
7121,"Rogers Lockers, Single Width",Office Supplies,Storage
394,"Bush Classic Bookcase, Traditional",Furniture,Bookcases
6833,"Tenex File Cart, Blue",Office Supplies,Storage
2889,"Binney & Smith Highlighters, Blue",Office Supplies,Art
6754,"Smead Trays, Wire Frame",Office Supplies,Storage
3461,"Acco Binding Machine, Clear",Office Supplies,Binders
321,"Sauder Floating Shelf Set, Traditional",Furniture,Bookcases
850,"Novimex Steel Folding Chair, Red",Furniture,Chairs
8251,"SanDisk Keyboard, USB",Technology,Accessories
2940,"Boston Canvas, Easy-Erase",Office Supplies,Art
10174,"Samsung Headset, Cordless",Technology,Phones
1328,Ultra Door Pull Handle,Furniture,Furnishings
16,"Advantus Clock, Durable",Furniture,Furnishings
5077,"Stockwell Staples, Metal",Office Supplies,Fasteners
3983,"Avery Index Tab, Clear",Office Supplies,Binders
203,"Dania Classic Bookcase, Mobile",Furniture,Bookcases
660,"Novimex Executive Leather Armchair, Red",Furniture,Chairs
7645,"Stiletto Box Cutter, High Speed",Office Supplies,Supplies
5657,"Harbour Creations Color Coded Labels, Laser Printer Compatible",Office Supplies,Labels
6201,"Eaton Memo Slips, 8.5 x 11",Office Supplies,Paper
5990,"OIC Clamps, Assorted Sizes",Office Supplies,Fasteners
5388,"Ibico Index Tab, Clear",Office Supplies,Binders
8569,"Cisco Smart Phone, Full Size",Technology,Phones
4103,"Breville Stove, Black",Office Supplies,Appliances
8919,"Sharp Fax Machine, Laser",Technology,Copiers
982,"Harbour Creations Swivel Stool, Set of Two",Furniture,Chairs
4587,"Kraft Manila Envelope, with clear poly window",Office Supplies,Envelopes
1191,"Tenex Frame, Black",Furniture,Furnishings
1693,"Hon Rocking Chair, Adjustable",Furniture,Chairs
862,"Office Star Bag Chairs, Set of Two",Furniture,Chairs
2830,"Boston Pens, Water Color",Office Supplies,Art
6524,"SanDisk Memo Slips, Multicolor",Office Supplies,Paper
8070,"SanDisk Flash Drive, Programmable",Technology,Accessories
5125,"Advantus Staples, 12 Pack",Office Supplies,Fasteners
5869,"Harbour Creations Color Coded Labels, Adjustable",Office Supplies,Labels
6256,Xerox 195,Office Supplies,Paper
5907,"Avery Shipping Labels, Laser Printer Compatible",Office Supplies,Labels
3368,"Avery Round Labels, Alphabetical",Office Supplies,Labels
3147,"Boston Markers, Fluorescent",Office Supplies,Art
3748,"Avery Hole Reinforcements, Recycled",Office Supplies,Binders
5038,"Alliance Big Bands Rubber Bands, 12/Pack",Office Supplies,Fasteners
5987,"OIC Clamps, 12 Pack",Office Supplies,Fasteners
3762,"Avery Binder Covers, Recycled",Office Supplies,Binders
3013,"Stanley Canvas, Blue",Office Supplies,Art
9612,"Panasonic Phone, Red",Technology,Machines
2948,"Stanley Markers, Water Color",Office Supplies,Art
3546,"Cardinal Binder, Clear",Office Supplies,Binders
3109,"Boston Pens, Blue",Office Supplies,Art
4662,"GlobeWeis Peel and Seal, Security-Tint",Office Supplies,Envelopes
6072,"Xerox Cards & Envelopes, 8.5 x 11",Office Supplies,Paper
6156,"Eaton Computer Printout Paper, Recycled",Office Supplies,Paper
1629,"Advantus Light Bulb, Duo Pack",Furniture,Furnishings
4045,"Binney & Smith Pens, Fluorescent",Office Supplies,Art
908,"Novimex Executive Leather Armchair, Black",Furniture,Chairs
1869,"SAFCO Executive Leather Armchair, Adjustable",Furniture,Chairs
8738,"Hewlett Wireless Fax, Laser",Technology,Copiers
9096,"Konica Inkjet, White",Technology,Machines
5436,"KitchenAid Coffee Grinder, Silver",Office Supplies,Appliances
455,"Safco Stackable Bookrack, Mobile",Furniture,Bookcases
6748,"Smead Lockers, Industrial",Office Supplies,Storage
9006,"Enermax Router, Erganomic",Technology,Accessories
9061,"HP Personal Copier, Laser",Technology,Copiers
6018,"Eaton Computer Printout Paper, Recycled",Office Supplies,Paper
3071,"BIC Sketch Pad, Easy-Erase",Office Supplies,Art
7670,"Elite Trimmer, Serrated",Office Supplies,Supplies
7253,"Fellowes Shelving, Wire Frame",Office Supplies,Storage
5297,"Hamilton Beach Blender, White",Office Supplies,Appliances
7108,"Rogers Box, Single Width",Office Supplies,Storage
3795,"Ibico Binder Covers, Durable",Office Supplies,Binders
2799,"BIC Highlighters, Water Color",Office Supplies,Art
8407,"Memorex Flash Drive, Bluetooth",Technology,Accessories
5634,"Smead Removable Labels, 5000 Label Set",Office Supplies,Labels
3571,"Cardinal Binder, Economy",Office Supplies,Binders
1758,"Novimex Steel Folding Chair, Adjustable",Furniture,Chairs
7203,"Smead Trays, Wire Frame",Office Supplies,Storage
4285,"Kraft Clasp Envelope, Recycled",Office Supplies,Envelopes
6233,"Green Bar Note Cards, Premium",Office Supplies,Paper
4144,"Cardinal Index Tab, Economy",Office Supplies,Binders
7902,"Xerox Message Books, Premium",Office Supplies,Paper
3710,"Acco Binder Covers, Clear",Office Supplies,Binders
5980,"Novimex Shipping Labels, Laser Printer Compatible",Office Supplies,Labels
1401,"Rubbermaid Stacking Tray, Erganomic",Furniture,Furnishings
5336,"Hon Color Coded Labels, Alphabetical",Office Supplies,Labels
431,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,Bookcases
7247,"SAFCO Commercial Wire Shelving, 72h",Office Supplies,Storage
9853,Jabra SPEAK 410,Technology,Phones
9337,"Okidata Calculator, Durable",Technology,Machines
5465,"Kleencut Trimmer, Serrated",Office Supplies,Supplies
10176,Macally Suction Cup Mount,Technology,Phones
5209,"Fellowes Trays, Blue",Office Supplies,Storage
7734,"Stiletto Scissors, Steel",Office Supplies,Supplies
1615,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Furniture,Furnishings
4623,"Cameo Clasp Envelope, Security-Tint",Office Supplies,Envelopes
1060,"Deflect-O Stacking Tray, Black",Furniture,Furnishings
4076,"Boston Highlighters, Fluorescent",Office Supplies,Art
4056,"Binney & Smith Highlighters, Blue",Office Supplies,Art
4273,"Kraft Business Envelopes, Set of 50",Office Supplies,Envelopes
4779,"Stockwell Thumb Tacks, 12 Pack",Office Supplies,Fasteners
6421,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Office Supplies,Paper
3618,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Office Supplies,Binders
6064,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Office Supplies,Paper
4140,"Cardinal Hole Reinforcements, Economy",Office Supplies,Binders
1323,Eldon Image Series Black Desk Accessories,Furniture,Furnishings
8761,"Sharp Fax Machine, Digital",Technology,Copiers
2106,Balt Split Level Computer Training Table,Furniture,Tables
4442,"Cameo Interoffice Envelope, Security-Tint",Office Supplies,Envelopes
7449,"Kleencut Box Cutter, Steel",Office Supplies,Supplies
7181,Recycled Steel Personal File for Hanging File Folders,Office Supplies,Storage
3168,Dixon Ticonderoga Core-Lock Colored Pencils,Office Supplies,Art
7198,"Rogers Folders, Single Width",Office Supplies,Storage
2138,"Hon Conference Table, Adjustable Height",Furniture,Tables
2200,"Hon Conference Table, Adjustable Height",Furniture,Tables
5234,"Fiskars Trimmer, Easy Grip",Office Supplies,Supplies
3439,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders
872,"SAFCO Rocking Chair, Red",Furniture,Chairs
8533,"Canon Fax Machine, Laser",Technology,Copiers
4186,"Eaton Memo Slips, Multicolor",Office Supplies,Paper
8483,"Apple Signal Booster, Cordless",Technology,Phones
5386,"Ibico Index Tab, Clear",Office Supplies,Binders
7877,"Wilson Jones Binder Covers, Economy",Office Supplies,Binders
2326,"Ames Mailers, with clear poly window",Office Supplies,Envelopes
3347,"Avery Hole Reinforcements, Clear",Office Supplies,Binders
10144,"Motorola Smart Phone, Cordless",Technology,Phones
2028,"Barricks Computer Table, Fully Assembled",Furniture,Tables
9313,"Konica Inkjet, White",Technology,Machines
6900,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage
1896,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases
1767,"Novimex Swivel Stool, Adjustable",Furniture,Chairs
927,"SAFCO Bag Chairs, Adjustable",Furniture,Chairs
6150,"Eaton Parchment Paper, 8.5 x 11",Office Supplies,Paper
3911,"Avery 3-Hole Punch, Clear",Office Supplies,Binders
3810,"Ibico Binding Machine, Durable",Office Supplies,Binders
5449,"Kleencut Letter Opener, Steel",Office Supplies,Supplies
6406,"Xerox Computer Printout Paper, 8.5 x 11",Office Supplies,Paper
5572,"Harbour Creations Removable Labels, 5000 Label Set",Office Supplies,Labels
6435,"Eaton Parchment Paper, 8.5 x 11",Office Supplies,Paper
3398,"Wilson Jones 3-Hole Punch, Recycled",Office Supplies,Binders
4222,"Elite Ruler, Serrated",Office Supplies,Supplies
5250,"GlobeWeis Peel and Seal, Security-Tint",Office Supplies,Envelopes
2850,"BIC Pens, Blue",Office Supplies,Art
6908,"Eldon Folders, Wire Frame",Office Supplies,Storage
6166,Xerox 1972,Office Supplies,Paper
8777,"Brother Personal Copier, Laser",Technology,Copiers
391,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases
5194,"Fellowes Lockers, Wire Frame",Office Supplies,Storage
7017,"Tenex Trays, Single Width",Office Supplies,Storage
2465,"KitchenAid Coffee Grinder, Red",Office Supplies,Appliances
2564,"Hamilton Beach Refrigerator, Silver",Office Supplies,Appliances
14,"Advantus Photo Frame, Erganomic",Furniture,Furnishings
2982,"Binney & Smith Pencil Sharpener, Easy-Erase",Office Supplies,Art
7459,"Kleencut Ruler, High Speed",Office Supplies,Supplies
8042,"Memorex Memory Card, USB",Technology,Accessories
2912,"Sanford Pencil Sharpener, Water Color",Office Supplies,Art
3766,"Wilson Jones Hole Reinforcements, Economy",Office Supplies,Binders
5628,"Smead File Folder Labels, Adjustable",Office Supplies,Labels
4673,"GlobeWeis Peel and Seal, Set of 50",Office Supplies,Envelopes
3551,"Acco Hole Reinforcements, Recycled",Office Supplies,Binders
3611,"Avery Hole Reinforcements, Durable",Office Supplies,Binders
3479,"Wilson Jones Hole Reinforcements, Clear",Office Supplies,Binders
388,"Safco Stackable Bookrack, Pine",Furniture,Bookcases
9771,"Motorola Signal Booster, Cordless",Technology,Phones
8627,"Hewlett Copy Machine, Color",Technology,Copiers
6829,"Eldon File Cart, Blue",Office Supplies,Storage
9707,"Cisco Smart Phone, Full Size",Technology,Phones
